image_path,caption
data/images/85498bb1-9ae7-4b77-b93e-c66f00011a44.png,"2 friendly real estate agent standing. one with curly brown hair and glasses and in her 60''s. the other with red curly hair and glasses in her 40''s. standing  in front of a charming equestrian property.., animated pixar style, high quality drawing, illustration, 4k, 3d"
data/images/b5a9a19e-f630-4eaa-b2e1-fe079027ca33.png,"vector pattern, pastel colors, in style kawai cartoon, highly detailed repating pattern"
data/images/925ced00-c573-43fd-9766-d96acbf0c3c6.png,a young beautiful girl run away kitchen. got scared at night dark mysterious
data/images/61b0d7a9-8b0d-46d7-8a14-fe9a05351c70.png,Criança menino de 1 ano cabelo cacheado com asa de anjo
data/images/566cd98a-7e64-47b1-ab9d-abda10a741a7.png,"A little girl wearing a red dress smiled. Play with the lovely white rabbit. In a green forest. Butterflies and birds flying. On the side of the road, flowers are blooming brightly"
data/images/b81d5101-fb09-4410-9f47-b8b9ed1335df.png,A pile of bricks on the floor
data/images/604cfbbb-25dc-4e07-998e-bcb92da145d3.png,A girl studying with a coffee at night
data/images/9ceb3416-a100-4fe2-8c31-d120d5bd1502.png,"Meantime the hellish tattoo of the heart increased. It grew quicker and quicker, and louder and louder every instant. The old man''s terror must have been extreme! It grew louder, I say, louder every moment!—do you mark me well? I"
data/images/768fc02f-88a8-4332-a68a-1e10d31aa42d.png,"a woman in a business suit, blond hair blue eyes, in a corporate office overlooking a city"
data/images/5269c8d5-ddf9-4808-bf8e-f6231f7a9f59.png,an unkempt man rummaging through a pile of boxes
data/images/3c3a621a-7d02-4457-b7b6-7021359d1302.png,A tree in dessert with spines
data/images/3dd32ed1-7bec-44f3-b558-707df8042fb4.png,Dark Aura Shadow Monarch anime
data/images/5ac08612-3448-49ed-84da-d595dfbdee00.png,"ancient China, Within ten miles stretches a bustling street,
Under the moonlight, watching immortals on the bridge meet.
In this transient life, only Yangzhou''s death befits,
Zen wisdom imbues the serene burial ground''s epitome, a perfect fit.

Translation:
A lively market lines the ten-mile long street,
On the Moonlit Bridge, watching immortals meet.
In life, only Yangzhou''s death does suffice,
Zen wisdom radiates from the beautiful cemetery site., Han Chinese Clothing, hanfu, perfect face, symmetric eyes, perfect finger"
data/images/cef5c623-bc1f-43b9-9df8-14c8f59e1fde.png,"Mustang On Road in forest Beautiful drone view, Hyper realistic, Hyper Detailed, Award winning photography"
data/images/31eab2d9-ec69-4a05-b001-d53248065c64.png,"a woman on a dragon in armor and armor strikes the 1C program with a spear, best quality, 32k resolution"
data/images/8e10fccb-3aac-484c-9519-8d9c67530846.png,"Vector t shirt art ready to print color full graffiti illustration of A SKULL FACE AND A CROWN,white background"
data/images/54a45c4d-8f4d-431d-933c-87dff83a2e30.png,my dog's walking path bird eye view light green shades water color sketches
data/images/1eb06ef8-f956-4b0a-8ff6-e22c410ed91a.png,children holding sparkler in hands
data/images/a51af72f-9729-4db4-ba38-edb570cd742c.png,Hora de aventuras 
data/images/40633c77-e125-4b09-b374-85a4dce9bbbe.png,"Digital art John Jay, dressed in an elegant waistcoat and tricorn hat during 1776, stands before a wall covered in maps and intelligence reports. He gestures emphatically while members of his committee, dressed in various colonial clothing, pore over documents.Historical Context:"
data/images/8d98f552-e7d2-4cc9-bc1b-9814f56ed497.png,foto do chamber maloqueiro
data/images/441e30e9-fe13-4f22-acaf-838135876ab7.png,Cute koala bear eating bamboo in a jungle
data/images/a4cfaa19-cc48-47fb-a7d7-8ba44e577658.png,"youtube banner for horror channel, Dread Diaries --ar 5:1"
data/images/690b4065-2991-4e07-a4fe-c1d8bd9a5123.png,black carbon texture with red light shining throughffee
data/images/adbdcccd-c5aa-40f4-ba67-58332ed4132a.png,"A bedroom with a desk full of papers and written works of novels on the walls, it seems messy and clean at the same time, make it modern and slightly simple"
data/images/745a26f4-7225-427a-8da4-ab5b35de5838.png,shakib al hasan
data/images/f76b01ba-6336-4f0f-9109-96ea006bb734.png,"Character potreit mini Spiderman, standing on stage, 3d rendering, highest quality, side profile, caricature, chibi, kawaii, 3d rendering, octane rendering, volumetric light, victorian fashion, metallic, highly-detailed symmetric face, highly detailed symmetrical face, -no nose, Giuseppe Arcimboldo, Francisco Goya, Jean Ignace Isidore (Gerard) Granville, Gerhard Gepp, “Kukryniksy”, Gerhard Gluck"
data/images/f9532521-da30-460e-a555-597ba4eefcce.png,"modern futuristic concept store lounge for a store of an Internet Service Provider. cozy and geometric modern with tables, cafeteria, game consoles. use the color white and green, royal blue, yellow."
data/images/bd09cfd6-ac1f-442b-a0a6-6ca51b331451.png,a fantasy mistletoe maze with christmas feel
data/images/a6460217-c29d-4d55-af38-eb96c35ae93a.png,"Show Queen conferring with Lady Seraphina and her advisors in her chambers, seeking a solution."
